108
# comment initial random config
S 1.21770834e+01 5.93873636e+00 1.35131736e+01
S 5.56994024e+00 6.12017299e+00 1.79349942e+01
S 1.03226205e+01 1.28321421e+01 3.81509454e+00
S 2.55792559e+00 1.68178649e+01 4.15750931e+00
S 1.60099027e+01 5.21102790e+00 4.47958573e+00
S 4.36351409e+00 6.20143191e-03 1.03809537e+01
S 5.90470821e+00 1.35509211e+01 1.18050126e+01
S 1.49052839e+01 3.56764204e+00 1.04973982e+01
S 1.09450999e+01 7.69012650e+00 8.75959709e+00
S 7.64905067e+00 2.28074558e+00 1.39620115e+01
S 1.87545114e+00 4.88483695e+00 8.55642341e+00
S 1.38252109e+00 9.27228592e+00 1.29472584e+01
S 1.31930019e+01 8.30004764e-01 5.07513530e+00
S 1.25121805e+01 5.89933143e+00 1.71923275e+01
S 8.21532791e+00 1.42667702e+01 1.55097980e+01
S 1.59501803e+01 6.85990765e+00 1.39114658e+01
S 8.84919596e+00 8.36452301e+00 4.39796182e+00
S 5.21031775e+00 1.26394134e+01 1.78145369e+01
S 4.17028403e+00 1.28876490e+00 6.09388758e+00
S 3.18625467e+00 2.50794164e+00 1.49372177e+01
S 6.27252328e+00 7.24878581e+00 7.84657577e+00
S 5.51178879e+00 8.76176033e+00 2.78883312e+00
S 9.85206524e-01 1.77772242e+01 8.74156742e+00
S 4.94257698e+00 2.67139515e+00 9.89727994e-01
S 1.77547563e+01 9.14249464e-01 3.24682250e+00
S 1.28223878e+01 7.51845253e+00 2.42125306e+00
S 1.53728463e+01 1.20084685e+01 7.12372143e+00
S 2.60153343e+00 1.49991970e+01 1.72312752e+01
S 1.13245353e+01 1.31581897e+01 7.54126732e+00
S 2.01421421e-01 1.75375249e+01 1.77464434e+01
S 8.45240820e+00 1.05637057e+01 8.90350330e+00
S 1.36997410e+01 8.92594916e+00 1.57058258e+01
S 1.37873253e+01 1.01324226e+00 1.61745766e+01
S 5.72107607e+00 1.61298824e+01 6.16567477e+00
S 1.53466457e+01 1.41896451e+01 1.68340298e+01
S 9.16731990e+00 1.66514839e+01 1.06418336e+01
S 1.17441815e+01 1.23881789e+01 1.55560147e+01
S 1.76129272e+01 7.52543389e+00 4.81126965e-01
S 3.58037801e-01 1.23484553e+01 2.76653131e-01
S 1.04032317e+01 1.46873271e+00 2.65487403e+00
S 4.95701079e+00 1.77447526e+01 1.64293560e+01
S 1.31652792e+01 1.13069758e+01 1.12568948e+00
S 4.77389822e+00 8.43896813e+00 1.50972304e+01
S 1.20575789e+01 1.19780467e+01 1.20051497e+01
S 1.05105690e+01 2.73385089e+00 1.62313632e+01
S 3.45098962e+00 5.40677235e+00 1.15848020e+01
S 1.25617883e+01 1.75331164e+01 1.18927303e+01
S 2.91222135e-01 1.45425967e+01 1.09090590e+01
S 1.88835703e+00 1.19156066e+01 5.64785296e+00
S 1.22845412e+01 1.65859844e+01 8.56267346e+00
S 9.06017949e+00 2.21931778e+00 1.00341011e+01
S 9.60754927e+00 9.08571818e+00 1.49285632e+01
S 1.57634531e+01 1.61420069e+00 7.32068262e+00
S 8.69307890e+00 6.34327799e+00 1.23060733e+01
S 1.04165938e+01 1.51073962e+01 9.38106987e-01
S 8.73953132e+00 1.70471989e+01 4.37262491e+00
S 8.93126275e+00 3.54689676e+00 6.33977947e+00
S 6.70010982e+00 1.51860639e+01 2.30157166e+00
S 1.54603431e+01 3.03940736e+00 1.39241883e+01
S 2.32711411e+00 8.47542177e+00 8.68781297e+00
S 1.75772803e+00 7.99669586e+00 3.56262945e+00
S 7.86495455e+00 9.12093443e+00 2.09886900e-01
S 1.59652520e+01 4.37924633e+00 1.71378754e+01
S 4.04454931e+00 6.03960499e+00 5.36988246e+00
S 1.01654536e+01 1.74566290e+01 1.49198571e+01
S 1.46791468e+01 1.40044960e+01 1.01003279e+01
S 1.49637840e+01 1.59594736e+01 2.85399312e+00
S 9.45631508e+00 5.99017581e+00 1.41553737e+00
S 1.73912067e+00 1.72562397e+01 1.41717029e+01
S 1.70957428e+01 9.46295939e+00 9.65304259e+00
S 4.13705033e+00 1.28476155e+01 3.08710982e+00
S 1.75579586e+01 1.66377158e+01 5.85577541e+00
S 3.31086580e+00 1.17485425e+01 9.01714578e+00
S 5.54384357e+00 9.28142577e+00 1.16023509e+01
S 2.14124912e+00 4.43717776e+00 2.19441025e+00
S 1.77139968e+01 8.81178624e+00 6.26374939e+00
S 1.25193329e+01 4.39371183e+00 6.90656194e+00
S 1.69921655e+00 5.93430384e+00 1.46629684e+01
S 1.69688073e+01 1.14150009e+01 1.49523100e+01
S 1.33968518e+01 3.58719540e+00 1.72399211e+00
S 1.62476816e+01 1.76513890e+01 1.11305501e+01
S 6.51269233e+00 1.25089836e+01 6.10744180e+00
S 8.65076205e+00 1.15780801e+01 1.23545446e+01
S 1.53988250e+01 6.88893560e+00 8.15750589e+00
S 1.55740860e+01 1.16324878e+01 3.59886429e+00
S 2.10780690e+00 1.30313251e+01 1.34987869e+01
S 1.76193144e+00 2.32693383e+00 1.12816843e+01
S 1.64204543e+01 1.51598913e+01 1.37497591e+01
S 1.88079824e+00 1.45918438e+01 7.75930700e+00
S 1.33696570e+01 8.40053941e+00 1.12728193e+01
S 6.73075515e+00 4.56410348e+00 3.33041038e+00
S 1.23841723e+01 9.33760341e+00 6.15452849e+00
S 1.76246213e+01 5.77632266e+00 1.11497971e+01
S 7.04889375e-02 1.41967853e+01 3.11975398e+00
S 8.37883210e+00 6.01449167e+00 1.60177420e+01
S 8.06241017e+00 1.08893888e+00 1.79394013e+01
S 2.48531632e+00 9.40603000e+00 1.78264158e+01
S 5.92126161e+00 3.90349756e+00 8.93215175e+00
S 7.40815867e+00 1.16887669e+01 2.47569433e+00
S 1.34598030e+00 3.16833016e+00 5.33904475e+00
S 6.53947385e+00 1.70876292e+01 1.28371840e+01
S 1.21303184e+01 1.54768582e+01 4.97516722e+00
S 4.41913246e+00 9.74773367e+00 6.32881548e+00
S 5.53733036e+00 5.08381514e+00 1.43439555e+01
S 7.74306379e+00 1.40325243e+01 8.95010724e+00
S 1.31039207e+01 1.54309170e+01 1.45446658e+01
S 1.13723754e+01 2.70398319e+00 1.25629336e+01
S 6.20065053e+00 1.15673047e+01 1.47435784e+01
